Molecule,Canonical SMILES,Formula,MW,#Heavy atoms,#Aromatic heavy atoms,Fraction Csp3,#Rotatable bonds,#H-bond acceptors,#H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Silicos-IT Log P,Consensus Log P,ESOL Log S,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),ESOL Class,Ali Log S,Ali Solubility (mg/ml),Ali Solubility (mol/l),Ali Class,Silicos-IT LogSw,Silicos-IT Solubility (mg/ml),Silicos-IT Solubility (mol/l),Silicos-IT class,GI absorption,BBB permeant,Pgp substrate,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,log Kp (cm/s),Lipinski #violations,Ghose #violations,Veber #violations,Egan #violations,Muegge #violations,Bioavailability Score,PAINS #alerts,Brenk #alerts,Leadlikeness #violations,Synthetic Accessibility
Syringic acid,COc1cc(cc(c1O)OC)C(=O)O,C9H10O5,198.17,14,6,0.22,3,5,2,48.41,75.99,1.54,1.04,1.11,0.49,0.77,0.99,-1.84,2.84E+00,1.44E-02,Very soluble,-2.23,1.18E+00,5.94E-03,Soluble,-1.46,6.93E+00,3.50E-02,Soluble,High,No,No,No,No,No,No,No,-6.77,0,0,0,0,1,0.56,0,0,1,1.7
Isoorientin,OC[C@H]1O[C@H]([C@@H]([C@H]([C@@H]1O)O)O)c1c(O)cc2c(c1O)c(=O)cc(o2)c1ccc(c(c1)O)O,C21H20O11,448.38,32,16,0.29,3,11,8,108.63,201.28,1.6,-0.15,-0.53,-2.51,-0.14,-0.34,-2.7,9.00E-01,2.01E-03,Soluble,-3.62,1.07E-01,2.39E-04,Soluble,-1.79,7.32E+00,1.63E-02,Soluble,Low,No,No,No,No,No,No,No,-9.14,2,1,1,1,3,0.17,1,1,1,5.04
Arundoin,CO[C@H]1CC[C@]2([C@H](C1(C)C)CC[C@H]1C2=CC[C@@]2([C@]1(C)CC[C@]1([C@H]2CC[C@@H]1C(C)C)C)C)C,C31H52O,440.74,32,0,0.94,2,1,0,139.87,9.23,5.22,9.55,8.68,7.12,7.35,7.58,-8.46,1.54E-06,3.49E-09,Poorly soluble,-9.66,9.75E-08,2.21E-10,Poorly soluble,-7.4,1.74E-05,3.94E-08,Poorly soluble,Low,No,No,No,No,No,No,No,-2.21,1,3,0,1,2,0.55,0,1,2,6.24
Luteolin,Oc1cc(O)c2c(c1)oc(cc2=O)c1ccc(c(c1)O)O,C15H10O6,286.24,21,16,0,1,6,4,76.01,111.13,1.86,2.53,2.28,-0.03,2.03,1.73,-3.71,5.63E-02,1.97E-04,Soluble,-4.51,8.84E-03,3.09E-05,Moderately soluble,-3.82,4.29E-02,1.50E-04,Soluble,High,No,No,Yes,No,No,Yes,Yes,-6.25,0,0,0,0,0,0.55,1,1,0,3.02
Apigenin,Oc1ccc(cc1)c1cc(=O)c2c(o1)cc(cc2O)O,C15H10O5,270.24,20,16,0,1,5,3,73.99,90.9,1.89,3.02,2.58,0.52,2.52,2.11,-3.94,3.07E-02,1.14E-04,Soluble,-4.59,6.88E-03,2.55E-05,Moderately soluble,-4.4,1.07E-02,3.94E-05,Moderately soluble,High,No,No,Yes,No,No,Yes,Yes,-5.8,0,0,0,0,0,0.55,0,0,0,2.96
Orientin,OC[C@H]1O[C@H]([C@@H]([C@H]([C@@H]1O)O)O)c1c(O)cc(c2c1oc(cc2=O)c1ccc(c(c1)O)O)O,C21H20O11,448.38,32,16,0.29,3,11,8,108.63,201.28,1,-0.15,-0.53,-2.51,-0.14,-0.47,-2.7,9.00E-01,2.01E-03,Soluble,-3.62,1.07E-01,2.39E-04,Soluble,-1.79,7.32E+00,1.63E-02,Soluble,Low,No,No,No,No,No,No,No,-9.14,2,1,1,1,3,0.17,1,1,1,5.17
Ascorbic acid,OC[C@@H]([C@H]1OC(=O)C(=C1O)O)O,C6H8O6,176.12,12,0,0.5,2,6,4,35.12,107.22,-0.31,-1.64,-1.41,-2.6,-1.15,-1.42,0.23,3.01E+02,1.71E+00,Highly soluble,-0.1,1.40E+02,7.93E-01,Very soluble,1.49,5.46E+03,3.10E+01,Soluble,High,No,No,No,No,No,No,No,-8.54,0,2,0,0,1,0.56,0,0,1,3.47
beta-Ionone,CC(=O)/C=C/C1=C(C)CCCC1(C)C,C13H20O,192.3,14,0,0.62,2,1,0,61.48,17.07,2.77,2.91,3.66,2.94,3.81,3.22,-2.73,3.55E-01,1.85E-03,Soluble,-2.93,2.26E-01,1.18E-03,Soluble,-3.1,1.54E-01,8.02E-04,Soluble,High,Yes,No,No,No,No,No,No,-5.41,0,0,0,0,2,0.55,0,1,1,3.38
Furfuryl alcohol,OCc1ccco1,C5H6O2,98.1,7,5,0.2,1,2,1,24.84,33.37,1.49,0.28,0.62,-0.47,1.18,0.62,-1.09,8.03E+00,8.18E-02,Very soluble,-0.54,2.81E+01,2.87E-01,Very soluble,-1.36,4.30E+00,4.39E-02,Soluble,High,Yes,No,No,No,No,No,No,-6.7,0,3,0,0,1,0.55,0,0,1,1.97
Furfural,O=Cc1ccco1,C5H4O2,96.08,7,5,0,1,2,0,24.1,30.21,1.03,0.41,1.09,-0.56,1.48,0.69,-1.16,6.70E+00,6.97E-02,Very soluble,-0.61,2.35E+01,2.45E-01,Very soluble,-1.47,3.23E+00,3.37E-02,Soluble,High,Yes,No,No,No,No,No,No,-6.6,0,3,0,0,1,0.55,0,1,1,1.77
Vanillic acid,COc1cc(ccc1O)C(=O)O,C8H8O4,168.15,12,6,0.12,2,4,2,41.92,66.76,1.4,1.43,1.1,0.74,0.73,1.08,-2.02,1.60E+00,9.52E-03,Soluble,-2.44,6.15E-01,3.66E-03,Soluble,-1.32,8.10E+00,4.82E-02,Soluble,High,No,No,No,No,No,No,No,-6.31,0,0,0,0,1,0.85,0,0,1,1.42
Docosanoic acid,CCCCCCCCCCCCCCCCCCCCCC(=O)O,C22H44O2,340.58,24,0,0.95,20,2,1,109.64,37.3,5.26,10.37,7.89,5.58,7.89,7.4,-7.16,2.33E-05,6.84E-08,Poorly soluble,-11.1,2.73E-09,8.03E-12,Insoluble,-7.7,6.75E-06,1.98E-08,Poorly soluble,Low,No,No,Yes,No,No,No,No,-1.01,1,1,1,1,2,0.85,0,0,2,3
Palmitic acid,CCCCCCCCCCCCCCCC(=O)O,C16H32O2,256.42,18,0,0.94,14,2,1,80.8,37.3,3.85,7.17,5.55,4.19,5.25,5.2,-5.02,2.43E-03,9.49E-06,Moderately soluble,-7.77,4.31E-06,1.68E-08,Poorly soluble,-5.31,1.25E-03,4.88E-06,Moderately soluble,High,Yes,No,Yes,No,Yes,No,No,-2.77,1,0,1,0,1,0.85,0,0,2,2.31
Phenylacetaldehyde,O=CCc1ccccc1,C8H8O,120.15,9,6,0.12,2,1,0,36.42,17.07,1.33,1.78,1.43,1.78,2.34,1.73,-2.07,1.03E+00,8.56E-03,Soluble,-1.76,2.10E+00,1.75E-02,Very soluble,-2.7,2.39E-01,1.99E-03,Soluble,High,Yes,No,Yes,No,No,No,No,-5.77,0,3,0,0,2,0.55,0,1,1,1
Isovitexin,OC[C@H]1O[C@H]([C@@H]([C@H]([C@@H]1O)O)O)c1c(O)cc2c(c1O)c(=O)cc(o2)c1ccc(cc1)O,C21H20O10,432.38,31,16,0.29,3,10,7,106.61,181.05,1.6,0.21,-0.23,-2.02,0.33,-0.02,-2.84,6.29E-01,1.46E-03,Soluble,-3.57,1.16E-01,2.68E-04,Soluble,-2.38,1.81E+00,4.20E-03,Soluble,Low,No,No,No,No,No,No,No,-8.79,1,0,1,1,2,0.55,0,0,1,4.99
Tritriacontane,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC,C33H68,464.89,33,0,1,30,0,0,160.75,0,8.69,17.49,13.12,10.01,13.74,12.61,-11.76,8.06E-10,1.73E-12,Insoluble,-17.7,9.26E-16,1.99E-18,Insoluble,-13.06,4.03E-11,8.67E-14,Insoluble,Low,No,Yes,No,No,No,No,No,3.28,1,3,1,1,3,0.55,0,0,3,4.32
4-Hydroxybenzoic acid,Oc1ccc(cc1)C(=O)O,C7H6O3,138.12,10,6,0,1,3,2,35.42,57.53,0.85,1.58,1.09,0.99,0.74,1.05,-2.07,1.18E+00,8.52E-03,Soluble,-2.4,5.51E-01,3.99E-03,Soluble,-1.17,9.40E+00,6.81E-02,Soluble,High,Yes,No,No,No,No,No,No,-6.02,0,3,0,0,1,0.85,0,0,1,1
Triglochinin,OC[C@H]1O[C@@H](O/C(=C(\CC(=O)O)/C=C\C(=O)O)/C#N)[C@@H]([C@H]([C@@H]1O)O)O,C14H17NO10,359.29,25,0,0.5,7,11,6,76.46,197.77,0.85,1.58,-2.3,0.99,0.74,1.05,-2.07,1.18E+00,8.52E-03,Soluble,-2.4,5.51E-01,3.99E-03,Soluble,-1.17,9.40E+00,6.81E-02,Soluble,High,Yes,No,No,No,No,No,No,-6.02,0,3,0,0,1,0.85,0,0,1,1
Friedelin,O=C1CC[C@@H]2[C@]([C@H]1C)(C)CC[C@H]1[C@@]2(C)CC[C@@]2([C@]1(C)CC[C@@]1([C@H]2CC(C)(C)CC1)C)C,C30H50O,426.72,31,0,0.97,0,1,0,134.39,17.07,4.49,9.8,8.46,6.92,7.52,7.44,-8.66,9.34E-07,2.19E-09,Poorly soluble,-10.08,3.56E-08,8.33E-11,Insoluble,-7.88,5.66E-06,1.33E-08,Poorly soluble,Low,No,No,No,No,No,No,No,-1.94,1,3,0,1,2,0.55,0,0,2,5.17
beta-Carotene,C/C(=C\C=C\C=C(\C=C\C=C(\C=C\C1=C(C)CCCC1(C)C)/C)/C)/C=C/C=C(/C=C/C1=C(C)CCCC1(C)C)\C,C40H56,536.87,40,0,0.45,10,0,0,184.43,0,4.49,9.8,12.61,6.92,7.52,7.44,-8.66,9.34E-07,2.19E-09,Poorly soluble,-10.08,3.56E-08,8.33E-11,Insoluble,-7.88,5.66E-06,1.33E-08,Poorly soluble,Low,No,No,No,No,No,No,No,-1.94,1,3,0,1,2,0.55,0,0,2,5.17
Ergometrine,OC[C@@H](NC(=O)[C@H]1CN(C)[C@H]2C(=C1)c1cccc3c1c(C2)c[nH]3)C,C19H23N3O2,325.4,24,9,0.42,4,3,3,98.56,68.36,2.76,1.78,1.15,1.27,2.29,1.85,-2.99,3.31E-01,1.02E-03,Soluble,-2.83,4.77E-01,1.47E-03,Soluble,-4.2,2.06E-02,6.32E-05,Moderately soluble,High,No,Yes,No,No,No,Yes,No,-7.02,0,0,0,0,0,0.55,0,0,0,4.27
Ergometrinine,OC[C@@H](NC(=O)[C@@H]1CN(C)[C@H]2C(=C1)c1cccc3c1c(C2)c[nH]3)C,C19H23N3O2,325.4,24,9,0.42,4,3,3,98.56,68.36,2,1.78,1.15,1.27,2.29,1.7,-2.99,3.31E-01,1.02E-03,Soluble,-2.83,4.77E-01,1.47E-03,Soluble,-4.2,2.06E-02,6.32E-05,Moderately soluble,High,No,Yes,No,No,No,Yes,No,-7.02,0,0,0,0,0,0.55,0,0,0,4.27
Ferulic acid,COc1cc(/C=C/C(=O)O)ccc1O,C10H10O4,194.18,14,6,0.1,3,4,2,51.63,66.76,1.62,1.51,1.39,1,1.26,1.36,-2.11,1.49E+00,7.68E-03,Soluble,-2.52,5.86E-01,3.02E-03,Soluble,-1.42,7.43E+00,3.83E-02,Soluble,High,Yes,No,No,No,No,No,No,-6.41,0,0,0,0,1,0.85,0,1,1,1.93
4-Hydroxycinnamic acid,OC(=O)/C=C/c1ccc(cc1)O,C9H8O3,164.16,12,6,0,2,3,2,45.13,57.53,0.95,1.46,1.38,1.28,1.22,1.26,-2.02,1.58E+00,9.65E-03,Soluble,-2.27,8.73E-01,5.32E-03,Soluble,-1.28,8.67E+00,5.28E-02,Soluble,High,Yes,No,No,No,No,No,No,-6.26,0,0,0,0,1,0.85,0,1,1,1.61
Vitexin,OC[C@H]1O[C@H]([C@@H]([C@H]([C@@H]1O)O)O)c1c(O)cc(c2c1oc(cc2=O)c1ccc(cc1)O)O,C21H20O10,432.38,31,16,0.29,3,10,7,106.61,181.05,1.63,0.21,-0.23,-2.02,0.33,-0.02,-2.84,6.29E-01,1.46E-03,Soluble,-3.57,1.16E-01,2.68E-04,Soluble,-2.38,1.81E+00,4.20E-03,Soluble,Low,No,No,No,No,No,No,No,-8.79,1,0,1,1,2,0.55,0,0,1,5.12
beta-Sitosterol,CC[C@@H](C(C)C)CC[C@H]([C@H]1CC[C@@H]2[C@]1(C)CC[C@H]1[C@H]2CC=C2[C@]1(C)CC[C@@H](C2)O)C,C29H50O,414.71,30,0,0.93,6,1,1,133.23,20.23,5.05,9.34,8.02,6.73,7.04,7.24,-7.9,5.23E-06,1.26E-08,Poorly soluble,-9.67,8.90E-08,2.15E-10,Poorly soluble,-6.19,2.69E-04,6.49E-07,Poorly soluble,Low,No,No,No,No,No,No,No,-2.2,1,3,0,1,2,0.55,0,1,2,6.3
Tricin,COc1cc(cc(c1O)OC)c1cc(=O)c2c(o1)cc(cc2O)O,C17H14O7,330.29,24,16,0.12,3,7,3,86.97,109.36,2.58,3.07,2.59,-0.07,2.59,2.15,-4.12,2.52E-02,7.63E-05,Moderately soluble,-5.03,3.06E-03,9.26E-06,Moderately soluble,-4.63,7.71E-03,2.33E-05,Moderately soluble,High,No,No,Yes,No,Yes,Yes,Yes,-6.14,0,0,0,0,0,0.55,0,0,0,3.21
Ascorbic acid,OC[C@@H]([C@H]1OC(=O)C(=C1O)O)O,C6H8O6,176.12,12,0,0.5,2,6,4,35.12,107.22,-0.31,-1.64,-1.41,-2.6,-1.15,-1.42,0.23,3.01E+02,1.71E+00,Highly soluble,-0.1,1.40E+02,7.93E-01,Very soluble,1.49,5.46E+03,3.10E+01,Soluble,High,No,No,No,No,No,No,No,-8.54,0,2,0,0,1,0.56,0,0,1,3.47
Syringic acid,COc1cc(cc(c1O)OC)C(=O)O,C9H10O5,198.17,14,6,0.22,3,5,2,48.41,75.99,1.54,1.04,1.11,0.49,0.77,0.99,-1.84,2.84E+00,1.44E-02,Very soluble,-2.23,1.18E+00,5.94E-03,Soluble,-1.46,6.93E+00,3.50E-02,Soluble,High,No,No,No,No,No,No,No,-6.77,0,0,0,0,1,0.56,0,0,1,1.7
Trimethylpentadecan-2-one,CC(CCCC(C)C)CCCC(CCCC(=O)C)C,C18H36O,268.48,19,0,0.94,12,1,0,88.84,17.07,4.39,6.95,6.01,4.79,6.18,5.66,-5.09,2.18E-03,8.11E-06,Moderately soluble,-7.12,2.03E-05,7.56E-08,Poorly soluble,-5.55,7.50E-04,2.79E-06,Moderately soluble,High,No,Yes,No,No,Yes,No,No,-3,1,1,1,1,2,0.55,0,0,2,3.2
Stigmasterol acetate,CC[C@@H](C(C)C)/C=C/[C@H]([C@H]1CC[C@@H]2[C@]1(C)CC[C@H]1[C@H]2CC=C2[C@]1(C)CC[C@@H](C2)OC(=O)C)C,C31H50O2,454.73,33,0,0.84,7,2,0,142.49,26.3,5.31,9.13,8.37,6.8,7.39,7.4,-7.95,5.11E-06,1.12E-08,Poorly soluble,-9.58,1.20E-07,2.64E-10,Poorly soluble,-6.08,3.77E-04,8.30E-07,Poorly soluble,Low,No,No,No,No,Yes,No,No,-2.59,1,3,0,1,1,0.55,0,1,2,6.25
Arundoin,CO[C@H]1CC[C@]2([C@H](C1(C)C)CC[C@H]1C2=CC[C@@]2([C@]1(C)CC[C@]1([C@H]2CC[C@@H]1C(C)C)C)C)C,C31H52O,440.74,32,0,0.94,2,1,0,139.87,9.23,5.22,9.55,8.68,7.12,7.35,7.58,-8.46,1.54E-06,3.49E-09,Poorly soluble,-9.66,9.75E-08,2.21E-10,Poorly soluble,-7.4,1.74E-05,3.94E-08,Poorly soluble,Low,No,No,No,No,No,No,No,-2.21,1,3,0,1,2,0.55,0,1,2,6.24
beta-Ionone,CC(=O)/C=C/C1=C(C)CCCC1(C)C,C13H20O,192.3,14,0,0.62,2,1,0,61.48,17.07,2.77,2.91,3.66,2.94,3.81,3.22,-2.73,3.55E-01,1.85E-03,Soluble,-2.93,2.26E-01,1.18E-03,Soluble,-3.1,1.54E-01,8.02E-04,Soluble,High,Yes,No,No,No,No,No,No,-5.41,0,0,0,0,2,0.55,0,1,1,3.38
Furfural,O=Cc1ccco1,C5H4O2,96.08,7,5,0,1,2,0,24.1,30.21,1.03,0.41,1.09,-0.56,1.48,0.69,-1.16,6.70E+00,6.97E-02,Very soluble,-0.61,2.35E+01,2.45E-01,Very soluble,-1.47,3.23E+00,3.37E-02,Soluble,High,Yes,No,No,No,No,No,No,-6.6,0,3,0,0,1,0.55,0,1,1,1.77
Vanillic acid,COc1cc(ccc1O)C(=O)O,C8H8O4,168.15,12,6,0.12,2,4,2,41.92,66.76,1.4,1.43,1.1,0.74,0.73,1.08,-2.02,1.60E+00,9.52E-03,Soluble,-2.44,6.15E-01,3.66E-03,Soluble,-1.32,8.10E+00,4.82E-02,Soluble,High,No,No,No,No,No,No,No,-6.31,0,0,0,0,1,0.85,0,0,1,1.42
4-Hydroxybenzoic acid,Oc1ccc(cc1)C(=O)O,C7H6O3,138.12,10,6,0,1,3,2,35.42,57.53,0.85,1.58,1.09,0.99,0.74,1.05,-2.07,1.18E+00,8.52E-03,Soluble,-2.4,5.51E-01,3.99E-03,Soluble,-1.17,9.40E+00,6.81E-02,Soluble,High,Yes,No,No,No,No,No,No,-6.02,0,3,0,0,1,0.85,0,0,1,1
Ferulic acid,COc1cc(/C=C/C(=O)O)ccc1O,C10H10O4,194.18,14,6,0.1,3,4,2,51.63,66.76,1.62,1.51,1.39,1,1.26,1.36,-2.11,1.49E+00,7.68E-03,Soluble,-2.52,5.86E-01,3.02E-03,Soluble,-1.42,7.43E+00,3.83E-02,Soluble,High,Yes,No,No,No,No,No,No,-6.41,0,0,0,0,1,0.85,0,1,1,1.93
4-Hydroxycinnamic acid,OC(=O)/C=C/c1ccc(cc1)O,C9H8O3,164.16,12,6,0,2,3,2,45.13,57.53,0.95,1.46,1.38,1.28,1.22,1.26,-2.02,1.58E+00,9.65E-03,Soluble,-2.27,8.73E-01,5.32E-03,Soluble,-1.28,8.67E+00,5.28E-02,Soluble,High,Yes,No,No,No,No,No,No,-6.26,0,0,0,0,1,0.85,0,1,1,1.61
Phytol,OC/C=C(/CCC[C@@H](CCC[C@@H](CCCC(C)C)C)C)\C,C20H40O,296.53,21,0,0.9,13,1,1,98.94,20.23,4.85,8.19,6.36,5.25,6.57,6.25,-5.98,3.10E-04,1.05E-06,Moderately soluble,-8.47,9.94E-07,3.35E-09,Poorly soluble,-5.51,9.06E-04,3.05E-06,Moderately soluble,Low,No,Yes,No,No,Yes,No,No,-2.29,1,1,1,1,2,0.55,0,1,2,4.3
beta-Sitosterol-d-glucoside,CC[C@@H](C(C)C)CC[C@H]([C@H]1CC[C@@H]2[C@]1(C)CC[C@H]1[C@H]2CC=C2[C@]1(C)CCC(C2)O[C@@H]1O[C@H](CO)[C@H]([C@@H]([C@H]1O)O)O)C,C35H60O6,576.85,41,0,0.94,9,6,4,165.61,99.38,5.17,7.74,5.85,3.96,5.02,5.55,-7.7,1.15E-05,2.00E-08,Poorly soluble,-9.67,1.23E-07,2.14E-10,Poorly soluble,-4.4,2.28E-02,3.94E-05,Moderately soluble,Low,No,No,No,No,No,No,No,-4.32,1,4,0,0,1,0.55,0,1,3,8.02
Syringic acid,COc1cc(cc(c1O)OC)C(=O)O,C9H10O5,198.17,14,6,0.22,3,5,2,48.41,75.99,1.54,1.04,1.11,0.49,0.77,0.99,-1.84,2.84E+00,1.44E-02,Very soluble,-2.23,1.18E+00,5.94E-03,Soluble,-1.46,6.93E+00,3.50E-02,Soluble,High,No,No,No,No,No,No,No,-6.77,0,0,0,0,1,0.56,0,0,1,1.7
Stigmasterol acetate,CC[C@@H](C(C)C)/C=C/[C@H]([C@H]1CC[C@@H]2[C@]1(C)CC[C@H]1[C@H]2CC=C2[C@]1(C)CC[C@@H](C2)OC(=O)C)C,C31H50O2,454.73,33,0,0.84,7,2,0,142.49,26.3,5.31,9.13,8.37,6.8,7.39,7.4,-7.95,5.11E-06,1.12E-08,Poorly soluble,-9.58,1.20E-07,2.64E-10,Poorly soluble,-6.08,3.77E-04,8.30E-07,Poorly soluble,Low,No,No,No,No,Yes,No,No,-2.59,1,3,0,1,1,0.55,0,1,2,6.25
Luteolin,Oc1cc(O)c2c(c1)oc(cc2=O)c1ccc(c(c1)O)O,C15H10O6,286.24,21,16,0,1,6,4,76.01,111.13,1.86,2.53,2.28,-0.03,2.03,1.73,-3.71,5.63E-02,1.97E-04,Soluble,-4.51,8.84E-03,3.09E-05,Moderately soluble,-3.82,4.29E-02,1.50E-04,Soluble,High,No,No,Yes,No,No,Yes,Yes,-6.25,0,0,0,0,0,0.55,1,1,0,3.02
Apigenin,Oc1ccc(cc1)c1cc(=O)c2c(o1)cc(cc2O)O,C15H10O5,270.24,20,16,0,1,5,3,73.99,90.9,1.89,3.02,2.58,0.52,2.52,2.11,-3.94,3.07E-02,1.14E-04,Soluble,-4.59,6.88E-03,2.55E-05,Moderately soluble,-4.4,1.07E-02,3.94E-05,Moderately soluble,High,No,No,Yes,No,No,Yes,Yes,-5.8,0,0,0,0,0,0.55,0,0,0,2.96
beta-Ionone,CC(=O)/C=C/C1=C(C)CCCC1(C)C,C13H20O,192.3,14,0,0.62,2,1,0,61.48,17.07,2.77,2.91,3.66,2.94,3.81,3.22,-2.73,3.55E-01,1.85E-03,Soluble,-2.93,2.26E-01,1.18E-03,Soluble,-3.1,1.54E-01,8.02E-04,Soluble,High,Yes,No,No,No,No,No,No,-5.41,0,0,0,0,2,0.55,0,1,1,3.38
Vanillic acid,COc1cc(ccc1O)C(=O)O,C8H8O4,168.15,12,6,0.12,2,4,2,41.92,66.76,1.4,1.43,1.1,0.74,0.73,1.08,-2.02,1.60E+00,9.52E-03,Soluble,-2.44,6.15E-01,3.66E-03,Soluble,-1.32,8.10E+00,4.82E-02,Soluble,High,No,No,No,No,No,No,No,-6.31,0,0,0,0,1,0.85,0,0,1,1.42
4-Hydroxybenzoic acid,Oc1ccc(cc1)C(=O)O,C7H6O3,138.12,10,6,0,1,3,2,35.42,57.53,0.85,1.58,1.09,0.99,0.74,1.05,-2.07,1.18E+00,8.52E-03,Soluble,-2.4,5.51E-01,3.99E-03,Soluble,-1.17,9.40E+00,6.81E-02,Soluble,High,Yes,No,No,No,No,No,No,-6.02,0,3,0,0,1,0.85,0,0,1,1
Ferulic acid,COc1cc(/C=C/C(=O)O)ccc1O,C10H10O4,194.18,14,6,0.1,3,4,2,51.63,66.76,1.62,1.51,1.39,1,1.26,1.36,-2.11,1.49E+00,7.68E-03,Soluble,-2.52,5.86E-01,3.02E-03,Soluble,-1.42,7.43E+00,3.83E-02,Soluble,High,Yes,No,No,No,No,No,No,-6.41,0,0,0,0,1,0.85,0,1,1,1.93
4-Hydroxycinnamic acid,OC(=O)/C=C/c1ccc(cc1)O,C9H8O3,164.16,12,6,0,2,3,2,45.13,57.53,0.95,1.46,1.38,1.28,1.22,1.26,-2.02,1.58E+00,9.65E-03,Soluble,-2.27,8.73E-01,5.32E-03,Soluble,-1.28,8.67E+00,5.28E-02,Soluble,High,Yes,No,No,No,No,No,No,-6.26,0,0,0,0,1,0.85,0,1,1,1.61
Phytol,OC/C=C(/CCC[C@@H](CCC[C@@H](CCCC(C)C)C)C)\C,C20H40O,296.53,21,0,0.9,13,1,1,98.94,20.23,4.85,8.19,6.36,5.25,6.57,6.25,-5.98,3.10E-04,1.05E-06,Moderately soluble,-8.47,9.94E-07,3.35E-09,Poorly soluble,-5.51,9.06E-04,3.05E-06,Moderately soluble,Low,No,Yes,No,No,Yes,No,No,-2.29,1,1,1,1,2,0.55,0,1,2,4.3
2-(4-Hydroxyphenyl)propanoic acid,OC(=O)C(c1ccc(cc1)O)C,C9H10O3,166.17,12,6,0.22,2,3,2,44.82,57.53,1.08,1.57,1.58,1.37,1.23,1.37,-2.1,1.33E+00,7.99E-03,Soluble,-2.39,6.79E-01,4.09E-03,Soluble,-1.62,3.95E+00,2.38E-02,Soluble,High,Yes,No,No,No,No,No,No,-6.2,0,0,0,0,1,0.85,0,0,1,1.55
beta-Sitosterol,CC[C@@H](C(C)C)CC[C@H]([C@H]1CC[C@@H]2[C@]1(C)CC[C@H]1[C@H]2CC=C2[C@]1(C)CC[C@@H](C2)O)C,C29H50O,414.71,30,0,0.93,6,1,1,133.23,20.23,5.05,9.34,8.02,6.73,7.04,7.24,-7.9,5.23E-06,1.26E-08,Poorly soluble,-9.67,8.90E-08,2.15E-10,Poorly soluble,-6.19,2.69E-04,6.49E-07,Poorly soluble,Low,No,No,No,No,No,No,No,-2.2,1,3,0,1,2,0.55,0,1,2,6.3
beta-Sitosterol-d-glucoside,CC[C@@H](C(C)C)CC[C@H]([C@H]1CC[C@@H]2[C@]1(C)CC[C@H]1[C@H]2CC=C2[C@]1(C)CCC(C2)O[C@@H]1O[C@H](CO)[C@H]([C@@H]([C@H]1O)O)O)C,C35H60O6,576.85,41,0,0.94,9,6,4,165.61,99.38,5.17,7.74,5.85,3.96,5.02,5.55,-7.7,1.15E-05,2.00E-08,Poorly soluble,-9.67,1.23E-07,2.14E-10,Poorly soluble,-4.4,2.28E-02,3.94E-05,Moderately soluble,Low,No,No,No,No,No,No,No,-4.32,1,4,0,0,1,0.55,0,1,3,8.02
